frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
360,2025-06-23 11:21:51,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:21:52,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:21:52,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:25:47,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:25:48,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:25:48,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:25:49,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:25:50,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:25:50,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:25:51,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:25:52,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:25:53,none,none,-1,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:26:25,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:26:26,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:26:26,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:26:27,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:26:28,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:26:28,none,none,-1,-1,20,320,300,wet,BOTH GREEN
